[2025-09-28 07:08:09] User: admin (ID: 1) | IP: 109.43.114.41 | Action: object_deleted | Details: Object deleted: Bühne H8 (ID: 8)
[2025-09-28 07:35:43] User: admin (ID: 1) | IP: 109.43.114.41 | Action: object_deleted | Details: Object deleted: Lichtmast B2 (ID: 2)
[2025-09-28 07:35:50] User: admin (ID: 1) | IP: 109.43.114.41 | Action: object_deleted | Details: Object deleted: Kompressor D4 (ID: 4)
[2025-09-28 07:35:54] User: admin (ID: 1) | IP: 109.43.114.41 | Action: object_deleted | Details: Object deleted: Beleuchtung E5 (ID: 5)
[2025-09-28 07:35:58] User: admin (ID: 1) | IP: 109.43.114.41 | Action: object_deleted | Details: Object deleted: Generator A1 (ID: 1)
[2025-09-28 07:36:10] User: admin (ID: 1) | IP: 109.43.114.41 | Action: settings_updated | Details: Map display settings updated: {"marker_size":15,"marker_border_width":1,"marker_hover_scale":1.100000000000000088817841970012523233890533447265625,"tooltip_delay":0,"auto_save_interval":30,"marker_shadow_intensity":0.299999999999999988897769753748434595763683319091796875,"interface_theme":"dark","show_legend":true,"show_coordinates":true,"enable_marker_pulse":false,"background_blur_admin":false,"enable_notifications":false}
[2025-09-28 07:36:34] User: admin (ID: 1) | IP: 109.43.114.41 | Action: settings_updated | Details: Map display settings updated: {"marker_size":15,"marker_border_width":1,"marker_hover_scale":1.100000000000000088817841970012523233890533447265625,"tooltip_delay":0,"auto_save_interval":30,"marker_shadow_intensity":0.299999999999999988897769753748434595763683319091796875,"interface_theme":"dark","show_legend":true,"show_coordinates":true,"enable_marker_pulse":false,"background_blur_admin":false,"enable_notifications":true}
[2025-09-28 07:36:54] User: admin (ID: 1) | IP: 109.43.114.41 | Action: settings_updated | Details: Map display settings updated: {"marker_size":15,"marker_border_width":1,"marker_hover_scale":1.100000000000000088817841970012523233890533447265625,"tooltip_delay":0,"auto_save_interval":30,"marker_shadow_intensity":0.299999999999999988897769753748434595763683319091796875,"interface_theme":"dark","show_legend":true,"show_coordinates":true,"enable_marker_pulse":false,"background_blur_admin":false,"enable_notifications":true}
[2025-09-28 12:32:38] User: admin (ID: 1) | IP: 109.43.114.41 | Action: position_updated | Details: Position updated for object ID: 3 to 35.31%, 40.984%
[2025-09-28 12:32:44] User: admin (ID: 1) | IP: 109.43.114.41 | Action: position_updated | Details: Position updated for object ID: 7 to 36.752%, 40.027%
[2025-09-28 12:33:08] User: admin (ID: 1) | IP: 109.43.114.41 | Action: settings_updated | Details: Map display settings updated: {"marker_size":12,"marker_border_width":1,"marker_hover_scale":1.100000000000000088817841970012523233890533447265625,"tooltip_delay":0,"auto_save_interval":30,"marker_shadow_intensity":0.299999999999999988897769753748434595763683319091796875,"interface_theme":"dark","show_legend":true,"show_coordinates":true,"enable_marker_pulse":false,"background_blur_admin":false,"enable_notifications":true}
[2025-09-28 12:33:30] User: admin (ID: 1) | IP: 109.43.114.41 | Action: settings_updated | Details: Map display settings updated: {"marker_size":21,"marker_border_width":1,"marker_hover_scale":1.100000000000000088817841970012523233890533447265625,"tooltip_delay":0,"auto_save_interval":30,"marker_shadow_intensity":0.299999999999999988897769753748434595763683319091796875,"interface_theme":"dark","show_legend":true,"show_coordinates":true,"enable_marker_pulse":false,"background_blur_admin":false,"enable_notifications":true}
